record_id	original	previous_edition	new_edition	translation
v94-diccionario-global-snp:017565	tajtakolmakatinemi	tlatacolmacatinemi	tlatlacolmacatinemi	vi. andar pecando. vr. andar pecando, andar cometiendo pecados. fornicar, cometer fornicación
v94-diccionario-global-snp:017566	tajtakolmakatiuitse	tlatacolmacatihuitze	tlatlacolmacatihuitze	vr. venir cometiendo pecados, venir pecando
v94-diccionario-global-snp:017567	tajtakolmakatiyouej	tlatacolmacatiahui	tlatlacolmacatiahui	vr. ir pecando, ir cometiendo pecados
v94-diccionario-global-snp:017568	tajtakolmaktiuitse	tlatacolmactihuitze	tlatlacolmactihuitze	vr. venir cometiendo pecados, venir pecando
v94-diccionario-global-snp:017569	tajtakolmaktiyouej	tlatacolmactiahui	tlatlacolmactiahui	vr. ir pecando, ir cometiendo pecados
v94-diccionario-global-snp:017570	tajtakolnemilis	tlatacolnemiliztli	tlatlacolnemiliztli	vida de pecado. deseos mundanos
v94-diccionario-global-snp:017572	tajtakolojpan	tlatacolopan	tlatlacolopan	senda del pecado, camino por el que se llega al pecado (metafóricamente conducta indecente, maldad)
v94-diccionario-global-snp:017573	tajtakolpakilis	tlatacolpaquiliztli	tlatlacolpaquiliztli	alegría del pecado. deleite desenfrenado
v94-diccionario-global-snp:017575	tajtakoluanimej	tlatacolhuanime	tlatlacolhuanime	pecadores
v94-diccionario-global-snp:017576	tajtakoluiya	tlatacolhuia	tlatlacolhuia	vt. echar la culpa a alguien. (sancionar a alguien?)
v94-diccionario-global-snp:017577	tajtakolyalis	tlatacolyaliztli	tlatlacolyaliztli	senda del pecado, viaje hacia el pecado, viaje por el pecado
v94-diccionario-global-snp:017580	tajtakoujkej	tlatacoque	tlatlacoque	pecador. imperfecto, perjudicial (adj.)
v94-diccionario-global-snp:017581	tajtakoxolal	tlatacoxolalli	tlatlacoxolalli	en el centro del pueblo
v94-diccionario-global-snp:017582	tajtakoyampa	tlatacoyampa	tlatlacoyampa	entre, entre medias
v94-diccionario-global-snp:017583	tajtakoyan	tlatacoyan	tlatlacoyan	en medio de (un lugar). a la mitad de (un destino). por el medio, por en medio
v94-diccionario-global-snp:017592	tajtaluiliya	tlatalhuilia	tlatlalhuilia	vt. ensuciar algo de alguien (p.e. ropa, herramientas, etc.)
v94-diccionario-global-snp:017595	tajtamajpachoua	tlatamapachoa	tlatlamapachoa	vi. (cubrir con las manos?)
v94-diccionario-global-snp:017596	tajtamaka	tlatamaca	tlatlamaca	vt. alimentar, dar de comer. dar de comer a un animal o a animales. apacentar a un animal (p.e. a un caballo)
v94-diccionario-global-snp:017599	tajtamijtiyouej	tlatamitiahui	tlatlamitiahui	vi. (ir extinguiendo algo, ir amortiguando algo?)
v94-diccionario-global-snp:017601	tajtamiltiliya	tlatamiltilia	tlatlamiltilia	vt. pasarle por alto algo a alguien. no tenerle encuenta algo (p.e. una falta) a alguien
v94-diccionario-global-snp:017622	tajtapajtilis	tlatapatiliztli	tlatlapatiliztli	salud
v94-diccionario-global-snp:017623	tajtapakyoj	tlatapacyo	tlatlapacyo	quebrado ( maíz que se quiebra y se mezcla con el maíz bueno, la gente no lo aprecia porque cuesta mucho limpiar el maíz bueno)
v94-diccionario-global-snp:017624	tajtapalyo	tlatapallo	tlatlapallo	(color?)
v94-diccionario-global-snp:017627	tajtapeualuiya	tlatapehualhuia	tlatlapehualhuia	vi. poner trampas (para animales)
v94-diccionario-global-snp:017628	tajtapojpoluiya	tlatapopolhuia	tlatlapopolhuia	vr. pedir perdón
v94-diccionario-global-snp:017630	tajtapoui	tlatapohui	tlatlapohui	vi. abrirse (p.e. una tela), desgastarse
v94-diccionario-global-snp:017631	tajtapouiliya	tlatapohuilia	tlatlapohuilia	vt. (abrirle algo a alguien?)
v94-diccionario-global-snp:017632	tajtapoyaui	tlatapoyahui	tlatlapoyahui	v. impersonal. caer la noche, anochecer
v94-diccionario-global-snp:017634	tajtatamaka	tlatatamaca	tlatlatamaca	(?)
v94-diccionario-global-snp:017635	tajtatapotok	tlatatapotoc	tlatlatapotoc	que tiene rendijas
v94-diccionario-global-snp:017636	tajtatekoch	tlatatecoch	tlatlatecoch	cañada
v94-diccionario-global-snp:017637	tajtatenoj	tlatateno	tlatlateno	en la orilla de, al lado de, al borde de
