record_id	route	escritura_original	texto_estandarizado	source_traduccion	old_traduccion	new_traduccion	old_comentario	new_comentario
1992-karttunen:000932	general	-cihuāpoh-tli	cihuapotli	necessarily possessed form; female companion, kinswoman / usado en comp. nociuapo una mujer como yo, mi compañera, mí pariente; teciuapo la acompañante, la hermana, la pariente de alguien	necessarily possessed form; female companion, kinswoman / usado en comp. nociuapo una mujer como yo, mi compañera, mí pariente; teciuapo la acompañante, la hermana, la pariente de alguien	necessarily possessed form: female companion, kinswoman / usado en comp. nociuapo una mujer como yo, mi compañera, mí pariente; teciuapo la acompañante, la hermana, la pariente de alguien	<b>1992 Karttunen original:</b> -CIHUĀPOH-TLI necessarily possessed form female companion, kinswoman / usado en comp. nociuapo una mujer como yo, mi compañera, mí pariente; teciuapo la acompañante, la hermana, la pariente de alguien (S)	<b>1992 Karttunen original:</b> necessarily possessed form; female companion, kinswoman / usado en comp. nociuapo una mujer como yo, mi compañera, mí pariente; teciuapo la acompañante, la hermana, la pariente de alguien
1992-karttunen:000934	general	cihuātequi-tl	cihuatequitl	possessed form; woman’s business / oficio de mujeres	possessed form; woman’s business / oficio de mujeres	possessed form: woman’s business / oficio de mujeres	<b>1992 Karttunen original:</b> CIHUĀTEQUI-TL possessed form: -TE-QUIUH woman’s business / oficio de mujeres (C)	<b>1992 Karttunen original:</b> possessed form; woman’s business / oficio de mujeres
1992-karttunen:000935	general	cihuātēuc-tli	cihuateuctli	possessed form; noblewoman, mistress, lady / ama o señora de esclavos, su patrona	possessed form; noblewoman, mistress, lady / ama o señora de esclavos, su patrona	possessed form: noblewoman, mistress, lady / ama o señora de esclavos, su patrona	<b>1992 Karttunen original:</b> CIHUĀTĒUC-TLI possessed form: -TĒUC-YŌ noblewoman, mistress, lady / ama o señora de esclavos (M), su patrona (Z for possessed form)	<b>1992 Karttunen original:</b> possessed form; noblewoman, mistress, lady / ama o señora de esclavos, su patrona
1992-karttunen:000936	general	cihuā-tl	cihuatl	possessed form; woman, wife / mujer	possessed form; woman, wife / mujer	possessed form: woman, wife / mujer	<b>1992 Karttunen original:</b> CIHUĀ-TL pl: CIHUAH, possessed form: -CIHUĀUH woman, wife / mujer (M)	<b>1992 Karttunen original:</b> possessed form; woman, wife / mujer
1992-karttunen:000954	general	-ciyaya	ciyaya	necessarily possessed form; one’s consent / la voluntad con que uno consiente	necessarily possessed form; one’s consent / la voluntad con que uno consiente	necessarily possessed form: one’s consent / la voluntad con que uno consiente	<b>1992 Karttunen original:</b> -CIYAYA necessarily possessed form one’s consent / la voluntad con que uno consiente (C)	<b>1992 Karttunen original:</b> necessarily possessed form; one’s consent / la voluntad con que uno consiente
1992-karttunen:000965	general	cochcāyō-tl	cochcayotl	possessed form; supper / cena	possessed form; supper / cena	possessed form: supper / cena	<b>1992 Karttunen original:</b> COCHCĀYŌ-TL possessed form: -COCHCĀYŌ ~-COCHCĀ supper / cena (S)	<b>1992 Karttunen original:</b> possessed form; supper / cena
1992-karttunen:001010	general	cōconē-tl	coconetl	possessed form; doll / muñeca	possessed form; doll / muñeca	possessed form: doll / muñeca	<b>1992 Karttunen original:</b> CŌCONĒ-TL pl: -MEH possessed form: -CONĒUH doll / muñeca	<b>1992 Karttunen original:</b> possessed form; doll / muñeca
1992-karttunen:001049	general	com(a)-tl	comatl	possessed form; vessel, container / jarro	possessed form; vessel, container / jarro	possessed form: vessel, container / jarro	<b>1992 Karttunen original:</b> COM(A)-TL Pl: -MEH; prossessed form: -CON vessel, container / jarro (C for TECOM(A)	<b>1992 Karttunen original:</b> possessed form; vessel, container / jarro
1992-karttunen:001050	general	cōmi-tl	comitl	possessed form; pot / olla o barril de barro	possessed form; pot / olla o barril de barro	possessed form: pot / olla o barril de barro	<b>1992 Karttunen original:</b> CŌMI-TL Pl: CŌMIH; possessed form; -CŌN pot / olla o barril de barro (M)	<b>1992 Karttunen original:</b> possessed form; pot / olla o barril de barro
1992-karttunen:001097	general	coyōtoma-tl	coyotomatl	possessed form; a plant of the verbena family with bitter roots (Vitex mollis) / tomate de coyote, jerengue	possessed form; a plant of the verbena family with bitter roots (Vitex mollis) / tomate de coyote, jerengue	possessed form: a plant of the verbena family with bitter roots (Vitex mollis) / tomate de coyote, jerengue	<b>1992 Karttunen original:</b> COYŌTOMA-TL pl: -MEH; possessed form: -TOMAUH a plant of the verbena family with bitter roots (Vitex mollis) / tomate de coyote, jerengue (X)	<b>1992 Karttunen original:</b> possessed form; a plant of the verbena family with bitter roots (Vitex mollis) / tomate de coyote, jerengue
1992-karttunen:001104	general	cōzca-tl	cozcatl	possessed form; jewel, ornament, necklace / joya, piedra preciosa labrada de forma redonda, o cuenta para rezar, collar, gargantilla	possessed form; jewel, ornament, necklace / joya, piedra preciosa labrada de forma redonda, o cuenta para rezar, collar, gargantilla	possessed form: jewel, ornament, necklace / joya, piedra preciosa labrada de forma redonda, o cuenta para rezar, collar, gargantilla	<b>1992 Karttunen original:</b> CŌZCA-TL pl; -MEH possesed form: -CŌZQUI jewel, ornament, necklace / joya, piedra preciosa labrada de forma redonda, o cuenta para rezar (M), collar, gargantilla (Z)	<b>1992 Karttunen original:</b> possessed form; jewel, ornament, necklace / joya, piedra preciosa labrada de forma redonda, o cuenta para rezar, collar, gargantilla
1992-karttunen:001175	general	-cualnēzcā	cualnezca	necessarily possessed form; one’s good appearance, beauty / tu buen parecer, tu hermosura	necessarily possessed form; one’s good appearance, beauty / tu buen parecer, tu hermosura	necessarily possessed form: one’s good appearance, beauty / tu buen parecer, tu hermosura	<b>1992 Karttunen original:</b> -CUALNĒZCĀ necessarily possessed form one’s good appearance, beauty / tu buen parecer, tu hermosura (C for second person singular possessor)	<b>1992 Karttunen original:</b> necessarily possessed form; one’s good appearance, beauty / tu buen parecer, tu hermosura
